category,average_length,average_views,median_length,median_views
Entertainment,231.92134655450602,12880.544425646569,200,1500
Sports,175.07380177932242,9615.659997920658,130,1400
Film & Animation,259.11916554104755,8997.44232054903,230,1200
People & Blogs,250.45256698711393,8705.419410922479,160,400
News & Politics,298.87201113430757,8643.065163535142,220,600
UNA,212.66545694490267,42054.77614648631,180,8600
Pets & Animals,122.77543826219512,11317.327076981708,80,400
Autos & Vehicles,161.96135536264353,9220.511341360963,110,1400
Travel & Places,199.80899488926747,3935.1332197614993,150,300
Music,270.5203994437277,13550.477863601584,230,1700
Howto & DIY,620.6708111957057,13834.88223695021,170,1300
Gadgets & Games,237.92032365381078,8453.421351789624,200,1300
Comedy,198.73412056753742,18257.4992028969,140,1000
