videoID,category,length
dMH0bHeiRNg,Comedy,360
0XxI-hvPRRA,Comedy,194
1dmVU08zVpA,Entertainment,165
RB-wUgnyGv0,Entertainment,159
QjA5faZF1A8,Music,320
-_CSo1gOd48,People & Blogs,205
49IDp76kjPw,Comedy,59
tYnn51C3X_w,Music,231
pv5zWaTEVkI,Music,184
D2kJZOfq7zk,People & Blogs,185
vr3x_RRJdd4,Entertainment,219
lsO6D1rwrKc,Entertainment,164
5P6UU6m3cqk,Comedy,100
8bbTtPL1jRs,Music,267
_BuRwH59oAo,Comedy,63
aRNzWyD7C9o,UNA,308
UMf40daefsI,Music,200
ixsZy2425eY,Entertainment,162
MNxwAU_xAMk,Comedy,140
RUCZJVJ_M8o,Entertainment,11
-xEzGIuY7kw,Music,171
d6C0bNDqf3Y,Music,178
pYak2F1hUYA,Comedy,290
HSoVKUVOnfQ,Music,102
sdUUx5FdySs,Film & Animation,189
h0zAlXr1UOs,Comedy,130
tFXLbXyXy6M,Entertainment,199
pa_7P5AbUww,People & Blogs,407
C8rjr4jmWd0,Comedy,231
3URfWTEPmtE,Music,250
R4cQ3BoHFas,Comedy,134
jtExxsiLgPM,UNA,269
x20v9F-sWHQ,Comedy,211
7uwCEnDgd5o,Entertainment,272
bNF_P281Uu4,Travel & Places,222
6B26asyGKDo,Film & Animation,345
thtmaZnxk_0,Music,137
rrdtXxzhBWA,Music,191
f4B-r8KJhlE,People & Blogs,253
LB84A3zcmVo,People & Blogs,183
kAMIlPudalQ,Comedy,569
hr23tpWX8lM,News & Politics,188
2KrdBUFeFtY,Entertainment,105
N6j475XI1Xg,Comedy,242
6D9p-wmtIJc,Comedy,185
gx-NLPH8JeM,Comedy,88
vD4OnHCRd_4,Entertainment,269
8uwuLxrv8jY,Entertainment,131
3gg5LOd_Zus,Entertainment,207
fpfpON3IoeQ,Music,381
ZpucUihZ4HE,Entertainment,200
aU6ojtBW0Qo,Comedy,29
5bry10DU8bo,Entertainment,270
lFf-kW1E0Tc,Entertainment,80
ifxdMZE8zno,Music,217
PxNNR4symuE,UNA,227
jMO3iLq_kAU,Music,208
synhob08_eA,Music,196
N0TR0Irx4Y0,Comedy,140
NINJQ5LRh-0,Music,184
H20dhY01Xjk,Film & Animation,359
2GWPOPSXGYI,Pets & Animals,27
pFlcqWQVVuU,Gadgets & Games,66
tXNquTYnyg0,People & Blogs,19
FLn45-7Pn2Y,Music,148
qg_8HIwRyrE,Entertainment,276
sHzdsFiBbFc,Comedy,109
o4x-VW_rCSE,Entertainment,74
8cjTSvvoddc,UNA,269
plSfKHZZwZ4,Comedy,328
55YYaJIrmzo,Film & Animation,67
IzO1mCAVyMw,Comedy,596
Z4Y4keqTV6w,Comedy,541
seGhTWE98DU,Music,198
O-tkqpHnxTI,Music,196
eiiU-Fky18s,Music,268
4CTy7Nx0oPI,Comedy,171
pIqhUCZgwXQ,Comedy,98
PKnloiM-0Ns,Comedy,205
bReVwemN5iE,Music,230
xWGU3mpfRoM,Entertainment,233
JzqumbhfxRo,Film & Animation,192
--AsXVzYXJw,Music,236
U1VmGjJJFrc,Comedy,83
xmsV9R8FsDA,Pets & Animals,116
WqlEhEf8hLI,Music,204
kyZRiEJnIag,Entertainment,32
12PsUW-8ge4,Pets & Animals,27
eAhfZUZiwSE,Film & Animation,78
4wGR4-SeuJ0,Comedy,286
CQO3K8BcyGM,Comedy,65
PIRS95CbJNw,Entertainment,20
pJsDfLndlKU,Comedy,123
P1OXAQHv09E,Comedy,59
hGOTf3Xl6Qs,Entertainment,231
x49WZRyXGe0,Comedy,52
YgW7or1TuFk,News & Politics,265
8c3YRPGppPM,Comedy,188
EYppbbbSxjc,People & Blogs,218
A9Shor9Bq_g,Music,235
