videoID,category,views,length
aRNzWyD7C9o,UNA,8825788,308
jtExxsiLgPM,UNA,5320895,269
PxNNR4symuE,UNA,4033376,227
8cjTSvvoddc,UNA,3486368,269
LIhbap3FlGc,UNA,2849832,309
lCSTULqmmYE,UNA,2179562,222
UyTxWvp8upM,UNA,2106933,151
y6oXEWowirI,UNA,1666084,71
_x2-AmY8FI8,UNA,1403113,283
ICoDFooBXpU,UNA,1376215,176
ByM_K-xkcag,UNA,1366452,267
1M4rBszx0S0,UNA,1278863,126
783ynnbiFrI,UNA,1251129,60
0m3SXpZK2Xw,UNA,1227361,407
R0049_tDAU8,UNA,1204982,30
uxkr4wS7XqY,UNA,1179160,195
EErOwBLC28M,UNA,1159333,63
Vx9UxzM3RQk,UNA,1144296,177
SPE8vL5hlFA,UNA,1139728,141
YKYERdJWNOQ,UNA,1121366,71
ZyLx9wB0CMQ,UNA,1042268,147
ZS_g9yPzqKo,UNA,970751,203
eYXU4ebQ2w8,UNA,966384,292
-T7uKvpzVXI,UNA,948206,167
_8cZpOutawE,UNA,928671,66
vw9zrvtuXKI,UNA,921299,152
X8w_-9M5_SA,UNA,887878,157
gVO-XIFYy9Y,UNA,878165,262
HWxFM2bHOA8,UNA,841390,591
BNIU-2-j4no,UNA,837904,151
PQkhCz8JDWw,UNA,805067,91
P421vP8Lans,UNA,800466,107
_poeloXyDmA,UNA,767315,213
roLpFLZvFso,UNA,765154,47
X2u8kzeA4ac,UNA,717305,319
CLH59ewqBMc,UNA,710314,291
61e1h4vALS0,UNA,708173,269
xRap9-3Td8I,UNA,683771,154
t-QsZ8bqYlc,UNA,677620,156
zcWSe3_IIlw,UNA,671521,80
3jLRNiK6oWY,UNA,663407,203
U7vTTiU7Ag8,UNA,662756,254
FHmdvcJmenM,UNA,662587,63
m_pw9vik0BQ,UNA,656108,113
ORs-8GT6SMU,UNA,601761,574
jJIeY_89-rk,UNA,561569,46
UomfLKQr57U,UNA,559393,167
bJS8PGZJS2c,UNA,550071,60
6_blxTE1tKQ,UNA,547829,78
2S2w3DdkKL4,UNA,544101,21
Qgw2z9TAJnU,UNA,527765,342
lkn9pU0bjJ4,UNA,519201,34
rxSyxMB7BAU,UNA,516736,111
hLB96GzlWio,UNA,503474,248
n6fj4hOowcw,UNA,500578,245
TqbRVVazTSs,UNA,500285,131
2C-UiFFVcE8,UNA,487413,269
kDWgsQhbaqU,UNA,486646,320
c8sW2Qzhh38,UNA,455225,299
hQvYysWFZvA,UNA,453865,61
mEgqgo4nzeo,UNA,449069,572
ISBeBuVKXL0,UNA,442338,145
awbijNI8IOs,UNA,438242,117
jlN96i4qfsU,UNA,432392,61
kzExPeTzOUk,UNA,425289,458
VWnZO-pmEYo,UNA,423497,47
xsVyMeKX2vU,UNA,423135,220
8mYL9t8Av10,UNA,420851,28
-vRE27RC9Dw,UNA,419239,52
6OsdchI5yz4,UNA,409708,269
R7V6JsoNpZ4,UNA,401808,180
OhEm4lGKY8k,UNA,397814,260
OJ-ac-uVaFA,UNA,395198,219
GmPLqoOFLIQ,UNA,393664,217
obAmAp9NE6w,UNA,393463,30
q-l93gltkCc,UNA,392420,112
nl4hbHwylYA,UNA,388545,228
ENWnzpUV3YQ,UNA,384165,197
CTtniB6nKg0,UNA,379105,47
6g68Czgo_WE,UNA,377724,209
q1gczVUBjec,UNA,377538,359
iSY_2Jo_hV4,UNA,375984,133
jFoyIcuhqos,UNA,367710,81
pjEfbeDBaT4,UNA,364118,269
KrJOwBdIvQo,UNA,361366,169
XDLCV5Lv_P8,UNA,361311,449
UEoQqHXdrbs,UNA,359986,150
IF3NCIafCBg,UNA,358982,171
Y2z9A-j_BwY,UNA,355285,201
hSp1KRk0tFY,UNA,354965,318
WaK82brgVy0,UNA,354049,31
yT3snJCP30c,UNA,351033,97
_WRWHrsNdYY,UNA,347869,8
_hIDm75Q0yo,UNA,347248,28
BlEiNmVX82Y,UNA,346476,161
ckArWT105kQ,UNA,344503,92
IvTVSCBbfBk,UNA,343700,268
6QNpxUYVOHg,UNA,340334,49
d4IdPKsdCDE,UNA,337484,294
Rbv0nDxTcU4,UNA,337192,295
RjrEQaG5jPM,Autos & Vehicles,2803140,133
cv157ZIInUk,Autos & Vehicles,2773979,30
Gyg9U1YaVk8,Autos & Vehicles,1832224,175
6GNB7xT3rNE,Autos & Vehicles,1412497,28
tth9krDtxII,Autos & Vehicles,1347317,60
46LQd9dXFRU,Autos & Vehicles,1262173,220
pdiuDXwgrjQ,Autos & Vehicles,1013697,61
kY_cDpENQLE,Autos & Vehicles,956665,56
YtxfbxGz1u4,Autos & Vehicles,942604,313
aCamHfJwSGU,Autos & Vehicles,847442,324
Kjaxez9OIX8,Autos & Vehicles,837975,80
3F2k-GWKW-w,Autos & Vehicles,827287,36
mrVyZdvo2cQ,Autos & Vehicles,758128,422
viL8A1QCP_U,Autos & Vehicles,729650,233
ju6t-yyoU8s,Autos & Vehicles,696000,339
Z2LUz2WVcek,Autos & Vehicles,644907,211
un5UbyGRf-o,Autos & Vehicles,622949,121
SlTvSUCCqPo,Autos & Vehicles,527688,126
Jg1uyRJjqaQ,Autos & Vehicles,509105,24
3Xo5GY4kDXg,Autos & Vehicles,491567,72
ZWC2XJYgcJU,Autos & Vehicles,488891,92
Vg79_mM2CNY,Autos & Vehicles,460560,39
8c1GGgXLepY,Autos & Vehicles,435576,120
tpUMSarCSQw,Autos & Vehicles,434937,265
KL3ccJDplzs,Autos & Vehicles,408162,29
nF0k8DM9gdc,Autos & Vehicles,394919,891
gZZayp59WRk,Autos & Vehicles,377713,87
9O0b90G8Yhg,Autos & Vehicles,375275,79
pkiX157qshs,Autos & Vehicles,373499,602
wXnW_Me-w5w,Autos & Vehicles,364956,52
nkfvQvc9ipI,Autos & Vehicles,364351,590
hl2UUunlI2Q,Autos & Vehicles,360678,18
x_YECJcfWko,Autos & Vehicles,359977,124
ENcIZVx-o9c,Autos & Vehicles,344499,125
uUurALr_Ckk,Autos & Vehicles,341582,255
vrcv_AxuV70,Autos & Vehicles,341500,90
C74ZXW2NlSY,Autos & Vehicles,306806,9
zMzeiMJQrvk,Autos & Vehicles,305690,139
WOiWaTSypt4,Autos & Vehicles,300991,85
Y5POVNw8nuQ,Autos & Vehicles,299427,574
U_ubm0MmvAw,Autos & Vehicles,293098,26
AbqR-KmLJ_w,Autos & Vehicles,292618,203
jaWNj-ZkADY,Autos & Vehicles,291858,72
dN6C2qd8bsA,Autos & Vehicles,286833,452
UoCqThjYb4M,Autos & Vehicles,286133,26
fvle0wLOtzw,Autos & Vehicles,283047,47
3LPh_6P8voU,Autos & Vehicles,281709,121
a7Ny5BYc-Fs,Autos & Vehicles,281497,65
Lc2JXrgIE9s,Autos & Vehicles,281460,12
L5vHXDXXHyU,Autos & Vehicles,278389,63
DYxsogSFXa0,Autos & Vehicles,268232,70
FZQuOhBVdNc,Autos & Vehicles,263463,254
4M0dhmVADg0,Autos & Vehicles,256851,58
3XRntxoykZM,Autos & Vehicles,256558,301
S-ppGiwc0wQ,Autos & Vehicles,254582,254
Ggqg6q5xegE,Autos & Vehicles,251025,208
w2UNxis6gKQ,Autos & Vehicles,248861,91
s1ZWJjC648I,Autos & Vehicles,247337,674
2KrPcHdfjeA,Autos & Vehicles,244376,440
egcflbzTJo0,Autos & Vehicles,242322,30
yEkvgrUHtNI,Autos & Vehicles,241748,83
BNN5Lwf_n0U,Autos & Vehicles,239791,106
lubLXFNx6OE,Autos & Vehicles,238571,251
j7rEFxUxxpU,Autos & Vehicles,236914,266
m_86RuYXoJA,Autos & Vehicles,233839,245
6Uo0C01Fwb8,Autos & Vehicles,231935,215
