videoID,uploader,age,category,length,views,rate,ratings,comments,links,relatedIDs
n1cEq1C8oqQ,Pipistrello,525,Comedy,125,1687,4.01,363,141,20,"eprHhmurMHg,i30NkTJOrak,2XtLgZol5wI,3nH5Tccz8EQ,bSPVayE0NhE,sEqCkwPmQ_w,hut3VRL5XRE,bWlPSLUT-6U,dsBTo5LExr0,7PSvpPXppXA,yLup8wjbSIo,lbf4d1pZI9c,uRQYan_-CTQ,gnpvEvuiFoQ,F2_5KOnSsfI,DINu35v3eMU,9uSiyn7t_0o,YfShxdbAJS8,ssdfqTwZXY0,z5wDjq8o60c"
OHkEzL4Unck,ichannel,638,Comedy,299,8043,4.4,518,371,20,"eyUSTmEUQRg,FDIH1GNQXQE,Wtj31off8-I,mDjwzhc8dQ0,N4EYgXReBzM,NyC_0Z6zoUk,4DxyF39Myto,aiYwo5K0VWg,Ml2NaXU6gms,d0VYKbEbXQ8,LQUV_XGzHmA,8OmL_BJRLRw,qeCFW97-fOA,DVNwUKAuB3I,FMuWYExDEJk,rE7TuuXkk4E,bWicrzq2ApQ,jh6EpXnMb18,9JhU2jE02gg,nfBfC8bif1Y"
LzHjIj3fpR8,Xelanderthomas,686,Comedy,168,4545,4.58,273,167,20,"udr9sLkoZ0s,3IU1GyX_zio,0E7Egr8Y1YI,qr8qZcvTLng,4WwVOWIqE80,Qeeq5OoLGJ0,YYDL1SqX-SY,vWGA5iYgAOU,8FeIj2HLN8k,bKlBTr88VTw,Y_59kWK5W3s,QlJSXVglZ3g,K3h_9O6OwW0,4ALe2z---e0,kdZk1Wk7kSw,hUa7f5XEzGE,aOihMldu_pE,PlPynB10vP0,W9DPlAZUH6Q,vta4RfQ2Z-I"
D6U6GxnvlE8,Karloze,678,Comedy,98,467849,3.65,2699,1431,20,"7kPyylUs7LM,_ek3sN10wds,KH5wUeAqtxA,i1vk7kurbh0,mwVLY6KRhXs,Qi6ZYuVu3hc,2xoDxK-j5fo,iVl76M0bzQc,jePAAlNJvOI,-Z32VE8mwhI,Ku4lo7Dwaqs,LeGKEJ93kYY,rguCnLjlZUY,oxnI_liO4ew,gdhukVh2BpQ,yQKuIRt-t0A,ZBNnhZSBKr8,m4QfvkszPUI,Sv9ACKznrjE,HLlONbrOQOE"
gZ_eaBgaDzY,Kontrabandman,736,Comedy,54,76086,4.44,261,174,20,"x5THGTVjiQo,PM7EhnLkLN8,2zhOHF9EtDA,5C7v5vwSvIc,GujYYYHYzHY,CnXULd9fB3M,FROS4b5QHJ0,DxOjlATR-Lw,2wQa6Qa-6Ew,MDh4rJgBZ7w,uMoQO4_Faxw,OMWPlKbhCR4,PJE7Uzy8qTM,8lGapsHINqM,ZedCXQhBF9I,32eDuxX_5rc,hzTZSghDfh0,TjmOK4TTvwg,XEJDGLF-e18,JMvMzQ4Vu-8"
d0nkw8BH6I0,DCcombatechizen,736,Comedy,211,20476,3.07,14,1,20,"XspA9UOUoBM,ztpxdOTpP9I,svXTGEpYsAQ,yuw1s_6JOU4,IPW_cC-fgd8,xYt0-r8bVnk,kaGKIbpE_O4,Mpx6FvsV2yQ,PGV5f2aQh8Y,pcFojTJ4BI0,LlKPoiYplv0,RmGFrp5Kjnc,SHElGC9xN8E,Q1LmZLBOe-c,8-BcDMUSOUE,YtuuOQtpzfw,apeYJJ5HHmY,nZaKjYaYv5I,w8OTBx7RBww,VLP3TDMjJiE"
l0-FWxqyk4E,Snowingday,735,Comedy,284,18247,3.08,12,0,20,"ftbtolorTts,v-4RSVSabKI,fAbWnmN1pZg,gyTO9XfnQ80,4lIBp1mqwEE,8BLVAYUTTz8,TIBAB-MvR1o,zC31t72h2Ns,BjClJjN2jcQ,i3GZBH78BUE,bRzwOQNdCsA,VKL65d6wnJ0,RkQdpC11J_w,6aInNVTcXzk,qjpIzggmFQo,RgkV-ONjvT8,6_eMU94FfZY,y5SD0VGHQk8,FeFP7z2eF84,prs-W5z1w1w"
C0f2dHJ6A18,vlogkarate,721,Comedy,124,1510728,4.4,7565,3502,20,"rziIF1byVms,aIl_m9Q8i-M,ZM9YgjrN-7I,snk-An1ZuJA,z_BqWHX1bSM,Ryt3jCEiOZA,8Cz_HEh6L3k,lFH9hN3K-Js,dmYYTownZEQ,BwEakCm3c1c,jIoGyESknng,k93suUhwfXw,DTg6n5EV6jI,QnoLALdjZBU,34RGjnTIi7w,h2W03sKKp7o,vM_nTgG8chQ,JnF5-boed9c,bQpgh2an1KU,Zr2XKAEI0oQ"
3CqbAyPx_uk,visiontellie,717,Comedy,110,1369648,4.18,1367,954,20,"ZgU9RtUHlU8,Tc0CYi1QeKs,KjnjWkaKN90,0ClBOmP5JKA,6_b-X-3TbsA,VnzPybTJY5Q,J2nb7-pG5aU,WP9ugOv5voM,DMYflGhMBl4,8caDPKc-Vg4,ERE4hux3qu4,4HPd6cRapCs,n3NlxGJ3l-4,L6y3con8fm8,LJUtDRX2s-A,ecjEqsWdD4I,rkvEuAtErwQ,g1wAVRsImXY,CRbx2T-ztk8,92rqesnc4a4"
JHkoZ7ngAM0,SnickersSuperBowl,717,Comedy,31,1152820,3.86,2490,1482,20,"Ryt3jCEiOZA,8Cz_HEh6L3k,lFH9hN3K-Js,dmYYTownZEQ,k93suUhwfXw,QnoLALdjZBU,DTg6n5EV6jI,34RGjnTIi7w,h2W03sKKp7o,vM_nTgG8chQ,JnF5-boed9c,bQpgh2an1KU,Zr2XKAEI0oQ,rUHHZtU5CNg,PTiFmTYRhTI,q9amPq7Jamo,ispeI8CzEpc,AmIspJuBtD0,bAoy8Suiw0g,Qm9mMHWCQ60"
wY0PFhHVC94,emeraldnuts,715,Comedy,30,1093377,3.8,2212,187,20,"Khzz1Koj1Hg,Is-pDwoZbeg,YEswRc2wKH4,59jY3hESUzo,6QussCG9j-s,cSheoc77oi8,a9rbBmU78aM,4ZhLDwU5Row,HvE3rXj_rOk,q5w8TfapzKc,XBAxW6lNx0Q,QYKrmrA6M4k,P6DpJC5K2EU,1dLAfdYPgvQ,MwAejxR2vOc,NdxlaQa8sts,ww4P9iUwhCE,JO1hrKBnAFc,-u-NMSZScJI,ECXOLAQoiqw"
dMH0bHeiRNg,judsonlaipply,415,Comedy,360,42513417,4.68,87520,22718,20,"OxBtqwlTMJQ,1hX1LxXwdl8,NvVbuVGtGSE,Ft6fC6RI4Ms,plv1e3MvxFw,1VL-ShAEjmg,y8k5QbVz3SE,weRfgj_349Q,_MFpPziLP9o,0M-xqfP1ibo,n4Pr_iCxxGU,UrWnNAMec98,QoREX_TLtZo,I-cm3GF-jX0,doIQXfJvydY,6hD3gGg9jMk,Hfbzju1FluI,vVN_pLl5ngg,3PnoFu027hc,7nrpwEDvusY"
